ts,current,voltage,shunt_voltage
1716842212.38497,45.59756097560975,5.096,4.58
1716842212.386461,45.792682926829265,5.1,4.58
1716842212.387742,45.792682926829265,5.1,4.55
1716842212.389013,46.0,5.1,4.6000000000000005
1716842212.390259,45.90243902439024,5.096,4.59
1716842212.391542,45.792682926829265,5.1,4.62
1716842212.39281,46.19512195121951,5.1,4.63
1716842212.394051,46.292682926829265,5.1,4.61
1716842212.395291,46.09756097560975,5.096,4.61
1716842212.396532,46.292682926829265,5.096,4.63
1716842212.397774,46.0,5.096,4.6000000000000005
1716842212.399013,45.792682926829265,5.1,4.58
1716842212.400255,45.90243902439024,5.096,4.58
1716842212.401548,45.792682926829265,5.096,4.58
1716842212.402841,45.792682926829265,5.1,4.6000000000000005
1716842212.404081,46.0,5.096,4.61
1716842212.405356,46.19512195121951,5.096,4.62
1716842212.406606,46.292682926829265,5.096,4.62
1716842212.407906,46.19512195121951,5.096,4.62
1716842212.409148,46.19512195121951,5.096,4.62
1716842212.411559,46.19512195121951,5.096,4.62
1716842212.412826,46.09756097560975,5.096,4.61
1716842212.414078,46.0,5.1,4.6000000000000005
1716842212.415313,46.0,5.096,4.59
1716842212.416554,45.90243902439024,5.096,4.58
1716842212.417792,45.792682926829265,5.092,4.6000000000000005
1716842212.419032,46.0,5.096,4.59
1716842212.420268,45.90243902439024,5.096,4.62
1716842212.421536,46.0,5.096,4.6000000000000005
1716842212.422786,46.292682926829265,5.092,4.63
1716842212.424027,46.19512195121951,5.096,4.62
1716842212.425271,46.19512195121951,5.096,4.6000000000000005
1716842212.426511,46.0,5.092,4.61
1716842212.427798,46.09756097560975,5.096,4.59
1716842212.429139,46.0,5.092,4.6000000000000005
1716842212.430481,45.69512195121951,5.096,4.59
1716842212.431842,45.90243902439024,5.092,4.62
1716842212.433201,46.19512195121951,5.096,4.61
1716842212.43456,46.0,5.092,4.6000000000000005
1716842212.43591,46.19512195121951,5.092,4.62
1716842212.437265,46.19512195121951,5.096,4.63
1716842212.438618,46.292682926829265,5.096,4.63
1716842212.43997,46.19512195121951,5.092,4.62
1716842212.441335,43.09756097560975,5.096,4.3
1716842212.442744,43.0,5.096,4.3100000000000005
1716842212.444096,43.09756097560975,5.096,4.29
1716842212.445446,43.09756097560975,5.092,4.3100000000000005
1716842212.446795,44.90243902439024,5.096,4.54
1716842212.448145,45.40243902439024,5.092,4.5600000000000005
1716842212.449497,45.59756097560975,5.096,4.54
1716842212.450849,46.09756097560975,5.092,4.61
1716842212.452239,45.40243902439024,5.096,4.3
1716842212.453595,43.0,5.096,4.3100000000000005
1716842212.454943,45.40243902439024,5.092,4.54
1716842212.456297,45.59756097560975,5.092,4.5600000000000005
1716842212.457649,45.792682926829265,5.092,4.57
1716842212.459003,45.69512195121951,5.092,4.61
1716842212.46035,45.5,5.092,4.55
1716842212.46173,45.792682926829265,5.092,4.58
1716842212.463086,45.5,5.088,4.6000000000000005
1716842212.464439,46.0,5.092,4.57
1716842212.465789,45.69512195121951,5.092,4.57
1716842212.467138,46.09756097560975,5.092,4.61
1716842212.468492,45.90243902439024,5.092,4.54
1716842212.469845,45.40243902439024,5.092,4.58
1716842212.471193,45.69512195121951,5.092,4.57
1716842212.472558,45.792682926829265,5.092,4.58
1716842212.473914,46.40243902439023,5.092,4.6000000000000005
1716842212.476147,46.0,5.092,4.64
1716842212.477514,46.40243902439023,5.092,4.64
1716842212.478867,46.19512195121951,5.092,4.62
1716842212.480215,46.09756097560975,5.092,4.6000000000000005
1716842212.481576,46.0,5.092,4.59
1716842212.482923,45.90243902439024,5.092,4.59
1716842212.484267,46.0,5.092,4.6000000000000005
1716842212.485612,46.19512195121951,5.092,4.62
1716842212.486959,46.19512195121951,5.092,4.62
1716842212.488303,46.19512195121951,5.092,4.62
1716842212.491139,46.19512195121951,5.088,4.63
1716842212.492701,46.292682926829265,5.088,4.64
1716842212.494087,46.292682926829265,5.092,4.63
1716842212.495458,46.09756097560975,5.092,4.59
1716842212.496845,45.90243902439024,5.092,4.59
1716842212.498228,45.792682926829265,5.092,4.58
1716842212.499609,46.0,5.088,4.61
1716842212.500985,46.09756097560975,5.088,4.62
1716842212.502408,46.19512195121951,5.088,4.62
1716842212.503804,46.292682926829265,5.092,4.63
1716842212.505179,46.292682926829265,5.092,4.63
1716842212.506556,46.292682926829265,5.092,4.63
1716842212.507946,46.292682926829265,5.088,4.62
1716842212.509329,46.09756097560975,5.092,4.61
1716842212.510755,46.09756097560975,5.088,4.6000000000000005
1716842212.512175,46.0,5.092,4.6000000000000005
1716842212.513558,46.19512195121951,5.092,4.62
1716842212.514988,46.09756097560975,5.088,4.61
1716842212.516487,46.09756097560975,5.092,4.61
1716842212.517932,46.19512195121951,5.092,4.62
1716842212.519303,46.292682926829265,5.092,4.62
1716842212.520762,46.19512195121951,5.088,4.62
1716842212.522248,46.19512195121951,5.092,4.62
1716842212.523667,46.19512195121951,5.096,4.62
1716842212.525058,46.19512195121951,5.092,4.61
1716842212.526552,46.0,5.092,4.6000000000000005
1716842212.52798,45.90243902439024,5.092,4.6000000000000005
1716842212.529353,46.0,5.092,4.6000000000000005
1716842212.53076,46.09756097560975,5.092,4.61
1716842212.532037,46.292682926829265,5.092,4.63
1716842212.533307,46.40243902439023,5.092,4.64
1716842212.534584,46.40243902439023,5.092,4.63
1716842212.535854,46.292682926829265,5.092,4.63
